"","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"1","AUS","GDP","TOT","MLN_USD","A",1960,25034.74,""
"2","AUS","GDP","TOT","MLN_USD","A",1961,25326.382,""
"3","AUS","GDP","TOT","MLN_USD","A",1962,27913.206,""
"4","AUS","GDP","TOT","MLN_USD","A",1963,30385.723,""
"5","AUS","GDP","TOT","MLN_USD","A",1964,32694.467,""
"6","AUS","GDP","TOT","MLN_USD","A",1965,34489.925,""
"7","AUS","GDP","TOT","MLN_USD","A",1966,38285.311,""
"8","AUS","GDP","TOT","MLN_USD","A",1967,41004.016,""
"9","AUS","GDP","TOT","MLN_USD","A",1968,46488.435,""
"10","AUS","GDP","TOT","MLN_USD","A",1969,52131.937,""
"11","AUS","GDP","TOT","MLN_USD","A",1970,58744.426,""
"12","AUS","GDP","TOT","MLN_USD","A",1971,64011.08,""
"13","AUS","GDP","TOT","MLN_USD","A",1972,69667.086,""
"14","AUS","GDP","TOT","MLN_USD","A",1973,78684.326,""
"15","AUS","GDP","TOT","MLN_USD","A",1974,86152.081,""
"16","AUS","GDP","TOT","MLN_USD","A",1975,96659.873,""
"17","AUS","GDP","TOT","MLN_USD","A",1976,104079.405,""
"18","AUS","GDP","TOT","MLN_USD","A",1977,110056.543,""
"19","AUS","GDP","TOT","MLN_USD","A",1978,123092.289,""
"20","AUS","GDP","TOT","MLN_USD","A",1979,137700.414,""
"21","AUS","GDP","TOT","MLN_USD","A",1980,154714.29,""
"22","AUS","GDP","TOT","MLN_USD","A",1981,177927.212,""
"23","AUS","GDP","TOT","MLN_USD","A",1982,181561.596,""
"24","AUS","GDP","TOT","MLN_USD","A",1983,196112.732,""
"25","AUS","GDP","TOT","MLN_USD","A",1984,211307.195,""
"26","AUS","GDP","TOT","MLN_USD","A",1985,228433.427,""
"27","AUS","GDP","TOT","MLN_USD","A",1986,239508.375,""
"28","AUS","GDP","TOT","MLN_USD","A",1987,260400.381,""
"29","AUS","GDP","TOT","MLN_USD","A",1988,282358.294,""
"30","AUS","GDP","TOT","MLN_USD","A",1989,298996.814,""
"31","AUS","GDP","TOT","MLN_USD","A",1990,303536.564,""
"32","AUS","GDP","TOT","MLN_USD","A",1991,313292.169,""
"33","AUS","GDP","TOT","MLN_USD","A",1992,333745.071,""
"34","AUS","GDP","TOT","MLN_USD","A",1993,354785.379,""
"35","AUS","GDP","TOT","MLN_USD","A",1994,380139.685,""
"36","AUS","GDP","TOT","MLN_USD","A",1995,402481.437,""
"37","AUS","GDP","TOT","MLN_USD","A",1996,423181.512,""
"38","AUS","GDP","TOT","MLN_USD","A",1997,449576.869,""
"39","AUS","GDP","TOT","MLN_USD","A",1998,476921.51,""
"40","AUS","GDP","TOT","MLN_USD","A",1999,509779.868,""
"41","AUS","GDP","TOT","MLN_USD","A",2000,537613.644,""
"42","AUS","GDP","TOT","MLN_USD","A",2001,568472.868,""
"43","AUS","GDP","TOT","MLN_USD","A",2002,599301.22,""
"44","AUS","GDP","TOT","MLN_USD","A",2003,635958.179,""
"45","AUS","GDP","TOT","MLN_USD","A",2004,675038.955,""
"46","AUS","GDP","TOT","MLN_USD","A",2005,717705.079,""
