LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,bal_05ya,bal_07ya,bal_10ya,min_05y,min_03y,min_05y_no_GFC,min_03y_no_GFC
AUS,GGNLEND,TOT,PC_GDP,A,1983,6.084507306,NA,FALSE,-6.084507306,5.3012562778,4.766046510142857,3.9341405096999997,3.155686485,3.729201544,3.155686485,3.729201544
AUT,GGNLEND,TOT,PC_GDP,A,1997,2.575791199,NA,FALSE,-2.575791199,3.701098364,NA,NA,NA,2.575791199,NA,2.575791199
BEL,GGNLEND,TOT,PC_GDP,A,2014,3.055682174,NA,FALSE,-3.055682174,3.0560451690000003,2.8995381827142857,2.7126807463,3.055682174,3.055682174,-0.239580626,-0.066439884
BRA,GGNLEND,TOT,PC_GDP,A,2016,7.152042452,NA,FALSE,-7.152042452,6.794419614400001,NA,NA,2.317914081,5.87713726,2.740302117,5.87713726
CAN,GGNLEND,TOT,PC_GDP,A,1992,9.199149263,NA,FALSE,-9.199149263,7.8681424272000005,7.078376511142857,5.707346933,4.510969957,5.911422126,4.510969957,5.911422126
CHE,GGNLEND,TOT,PC_GDP,A,1997,2.33062939,NA,FALSE,-2.33062939,1.8142599279999998,NA,NA,NA,1.857393762,NA,1.857393762
CHL,GGNLEND,TOT,PC_GDP,A,2016,2.636673892,NA,FALSE,-2.636673892,2.1215101562000003,NA,NA,-0.542586918,1.512796273,-7.739157796,1.512796273
CHN,GGNLEND,TOT,PC_GDP,A,2000,7.80029974,NA,FALSE,-7.80029974,6.0756556033999995,5.362246669285715,4.1397951716999994,2.479547119,4.869275079,2.479547119,4.869275079
COL,GGNLEND,TOT,PC_GDP,A,2017,4.84143444,NA,FALSE,-4.84143444,4.3115952722,NA,NA,1.527112015,3.147166866,0.455772064,3.147166866
CRI,GGNLEND,TOT,PC_GDP,A,2017,2.888096088,NA,FALSE,-2.888096088,2.8930534708000004,NA,NA,1.410251919,2.302226618,1.410251919,2.302226618
CZE,GGNLEND,TOT,PC_GDP,A,1997,3.174897921,NA,FALSE,-3.174897921,5.170449201,NA,NA,NA,3.004884502,NA,3.004884502
DEU,GGNLEND,TOT,PC_GDP,A,1997,2.942100298,NA,FALSE,-2.942100298,4.0461694692000005,NA,NA,NA,2.942100298,NA,2.942100298
DNK,GGNLEND,TOT,PC_GDP,A,1997,1.200213529,NA,TRUE,-1.200213529,1.3645006646,NA,NA,NA,1.200213529,NA,1.200213529
EA,GGNLEND,TOT,PC_GDP,A,1997,3.052090568,NA,FALSE,-3.052090568,3.7411855832,NA,NA,NA,3.052090568,NA,3.052090568
ESP,GGNLEND,TOT,PC_GDP,A,2014,5.915373422,NA,FALSE,-5.915373422,6.6338309652000005,6.561857242428572,6.080545472300001,5.915373422,5.915373422,-2.124079644,-1.88621705
EST,GGNLEND,TOT,PC_GDP,A,2000,0.06796365,NA,FALSE,-0.06796365,0.7011690918000001,-0.05897642328571427,-0.35857558749999996,-2.123909586,0.06796365,-2.123909586,0.06796365
FIN,GGNLEND,TOT,PC_GDP,A,1994,6.495939349,NA,FALSE,-6.495939349,5.8161326826,4.457126634428572,2.2576333611000003,-5.317780538,5.32778184,-5.317780538,5.32778184
FRA,GGNLEND,TOT,PC_GDP,A,1994,5.422899361,NA,FALSE,-5.422899361,5.07946697,4.559030503428572,3.8328549154,2.43397061,4.601218586,2.43397061,4.601218586
GBR,GGNLEND,TOT,PC_GDP,A,2008,5.125659191,NA,FALSE,-5.125659191,5.959653117799999,5.7720667017142855,5.7093529822999995,2.643968475,2.643968475,2.643968475,2.643968475
GRC,GGNLEND,TOT,PC_GDP,A,2008,10.17602394,NA,FALSE,-10.17602394,9.853839758800001,9.417715418428571,9.6980743334,5.94597758,5.94597758,5.94597758,5.94597758
HUN,GGNLEND,TOT,PC_GDP,A,2004,6.600796292,NA,FALSE,-6.600796292,7.9291406064,6.962303745285714,6.0325613934,3.04138711,6.600796292,3.04138711,6.600796292
IDN,GGNLEND,TOT,PC_GDP,A,2015,2.692746994,NA,FALSE,-2.692746994,2.2091268723999997,1.9992769498571428,NA,1.035158789,1.858321632,NA,NA
IRL,GGNLEND,TOT,PC_GDP,A,2008,7.017855128,NA,TRUE,-7.017855128,9.9780131418,8.732414420857141,7.4129610837,-2.775545892,-2.775545892,-2.775545892,-2.775545892
ISL,GGNLEND,TOT,PC_GDP,A,2008,11.77616004,NA,FALSE,-11.77616004,2.7473587868000005,2.1040901747142855,1.7604326708999998,-6.733101813,-6.733101813,-6.733101813,-6.733101813
ISR,GGNLEND,TOT,PC_GDP,A,1997,9.370378378,NA,FALSE,-9.370378378,8.015793972800001,NA,NA,NA,9.370378378,NA,9.370378378
ITA,GGNLEND,TOT,PC_GDP,A,1997,2.981625151,NA,FALSE,-2.981625151,4.3135239118,NA,NA,NA,2.981625151,NA,2.981625151
JPN,GGNLEND,TOT,PC_GDP,A,2008,4.119426397,NA,FALSE,-4.119426397,5.7538048314,6.0381588108571425,NA,NA,2.756333505,NA,2.756333505
KOR,GGNLEND,TOT,PC_GDP,A,1974,1.740670462,NA,FALSE,-1.740670462,2.3388555258,2.0896676257142857,1.5189916153,0.007151541,1.740670462,0.007151541,1.740670462
LTU,GGNLEND,TOT,PC_GDP,A,1999,2.822196589,NA,FALSE,-2.822196589,4.8660044284,4.205416488285715,3.3644809755,1.547675881,2.822196589,1.547675881,2.822196589
LUX,GGNLEND,TOT,PC_GDP,A,2004,1.405061172,NA,FALSE,-1.405061172,-0.5212069202,-1.8086334497142857,-2.1492708661999997,-5.648073699,-2.023714543,-5.648073699,-2.023714543
LVA,GGNLEND,TOT,PC_GDP,A,2008,4.264286328,NA,FALSE,-4.264286328,4.7161623618,4.030034592428572,3.2012690115,0.480743511,0.530830728,0.480743511,0.530830728
MEX,GGNLEND,TOT,PC_GDP,A,2014,4.223019819,NA,FALSE,-4.223019819,4.3093744154,4.193173421142857,4.1749601553,2.971550405,4.223019819,0.710616285,0.710616285
NLD,GGNLEND,TOT,PC_GDP,A,1997,1.582729524,NA,FALSE,-1.582729524,2.6475301332,NA,NA,NA,1.582729524,NA,1.582729524
NOR,GGNLEND,TOT,PC_GDP,A,1997,-7.460003154,NA,TRUE,7.460003154,-5.1522468504,NA,NA,NA,-7.460003154,NA,-7.460003154
NZL,GGNLEND,TOT,PC_GDP,A,1988,3.785000283,NA,TRUE,-3.785000283,3.4730007657999997,NA,NA,NA,1.30279129,NA,1.30279129
POL,GGNLEND,TOT,PC_GDP,A,2002,4.817572709,NA,FALSE,-4.817572709,4.9194084538,4.398374381999999,4.0384342944,2.253272649,3.994345897,2.253272649,3.994345897
