LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,bal_05ya,bal_07ya,bal_10ya,min_05y,min_03y,min_05y_no_GFC,min_03y_no_GFC
AUS,GGNLEND,TOT,PC_GDP,A,1985,5.20250538,NA,FALSE,-5.20250538,4.478360478,4.160867967142857,NA,3.729201544,5.20250538,3.729201544,5.20250538
AUT,GGNLEND,TOT,PC_GDP,A,1999,2.595886654,NA,FALSE,-2.595886654,2.1868365136000003,2.4027104770000003,2.9544356084,2.575791199,2.575791199,2.575791199,2.575791199
BEL,GGNLEND,TOT,PC_GDP,A,2017,0.686463167,NA,FALSE,-0.686463167,1.6411161344000003,NA,NA,0.686463167,0.686463167,0.686463167,0.686463167
BRA,GGNLEND,TOT,PC_GDP,A,2018,6.128403183,NA,FALSE,-6.128403183,NA,NA,NA,5.87713726,6.128403183,5.87713726,6.128403183
CAN,GGNLEND,TOT,PC_GDP,A,1986,7.321648976,NA,FALSE,-7.321648976,6.855155805999999,6.713156726857143,6.8161245838,6.898328357,7.321648976,6.898328357,7.321648976
CHE,GGNLEND,TOT,PC_GDP,A,1999,1.56724193,NA,FALSE,-1.56724193,0.9425751249999997,1.209643286857143,1.3065985145,1.303451839,1.303451839,1.303451839,1.303451839
CHL,GGNLEND,TOT,PC_GDP,A,2018,1.621095415,NA,FALSE,-1.621095415,NA,NA,NA,1.512796273,1.621095415,1.512796273,1.621095415
CHN,GGNLEND,TOT,PC_GDP,A,2002,4.710399721,NA,FALSE,-4.710399721,4.859672876199999,4.422025226714285,3.2057572449,4.710399721,4.710399721,4.710399721,4.710399721
COL,GGNLEND,TOT,PC_GDP,A,2019,3.992730728,E,FALSE,-3.992730728,NA,NA,NA,3.147166866,3.992730728,3.147166866,3.992730728
CRI,GGNLEND,TOT,PC_GDP,A,2019,3.870589629,E,FALSE,-3.870589629,NA,NA,NA,2.302226618,2.888096088,2.302226618,2.888096088
CZE,GGNLEND,TOT,PC_GDP,A,2001,5.759548002,NA,FALSE,-5.759548002,5.1345465284,4.602188770571429,4.0566932148,3.128163861,3.128163861,3.128163861,3.128163861
DEU,GGNLEND,TOT,PC_GDP,A,2005,3.319436615,NA,FALSE,-3.319436615,2.3500122422000005,2.2487729465714286,2.6296012873000003,3.025444871,3.319436615,3.025444871,3.319436615
DNK,GGNLEND,TOT,PC_GDP,A,1999,-0.868853785,NA,TRUE,0.868853785,-0.4615945029999999,0.027141318000000032,0.1869995959,-0.868853785,-0.868853785,-0.868853785,-0.868853785
