LOCATION,max_5_GFC
AUS,3.729201544
AUT,2.575791199
BEL,0.686463167
BRA,5.87713726
CAN,6.898328357
CHE,1.303451839
CHL,1.512796273
CHN,4.710399721
COL,3.147166866
CRI,2.302226618
CZE,3.128163861
DEU,3.025444871
DNK,-0.868853785
EA,1.957612465
ESP,3.02427042
EST,-0.142910657
FIN,3.246377947
FRA,3.905879422
GBR,3.720081784
GRC,5.94597758
HUN,6.600796292
IDN,1.605938924
IRL,0.318470229
ISL,-1.511170959
ISR,3.337135143
ITA,2.869301584
JPN,2.905436076
KOR,1.101376375
LTU,2.822196589
LUX,-2.023714543
LVA,1.56790984
MEX,2.508149398
NLD,0.39645442
NOR,-7.460003154
NZL,2.582423476
POL,3.994345897
PRT,3.33438222
RUS,-3.181347172
SVK,5.296969505
SVN,2.37436471
SWE,-0.845833885
TUR,-0.643112143
USA,5.831847678
ZAF,3.363686823
