Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.NL.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.NL.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.NL.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.NL.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
,"Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with short-term residual maturity (up to 1 year), Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with residual maturity over 5 years, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year or no stated maturity), Interest rate, All currencies, 12-period moving average","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average",,
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),,
Period\Unit:,[Millions],,[Millions],,[Millions],,[Millions],[Millions],[Millions],[Millions],,,,,,[Millions],,,,,[Millions],,,[Millions],,,[Millions],,,,[Millions],,,,COUNTRY,EUROZONE
2021Mar,290471,36.369,55722,6.977,15640,1.958,361315,0,0,361833,1.469,45.239,0,0,45.304,321058,1.692,40.199,1.662,1.575,0,-,0,40775,-0.36,5.105,6130,0.768,3.506,0.197,8930,1.118,-0.515,-0.401,NL,1
2021Feb,285866,35.793,51407,6.437,21760,2.725,358510,0,0,359033,1.5,44.888,0,0,44.954,316478,1.704,39.625,1.662,1.591,0,-,0,42555,-0.351,5.328,7720,0.967,3.466,0.221,11260,1.41,-0.528,-0.421,NL,1
2021Jan,278206,34.833,49797,6.235,27490,3.442,354960,0,0,355493,1.51,44.444,0,0,44.51,308908,1.752,38.678,1.663,1.67,0,-,0,46585,-0.483,5.833,10160,1.272,3.461,0.258,6373,0.798,-0.536,-0.442,NL,1
2020Dec,288753,36.154,32967,4.128,37560,4.703,358747,0,0,359280,1.488,44.918,0,0,44.985,304125,1.777,38.079,1.668,1.689,0,-,0,55155,-0.529,6.906,191,0.024,3.461,0.298,1685,0.211,-0.542,-0.451,NL,1
2020Nov,288753,36.154,33017,4.134,36016,4.509,357132,0,126,357786,1.476,44.716,0,0.016,44.797,304125,1.778,38.079,3.425,1.689,0,-,0,53661,-0.515,6.719,6631,0.83,1.912,0.259,3690,0.462,-0.549,-0.459,NL,1
2020Oct,287223,35.963,32157,4.026,41346,5.177,359933,0,256,360727,1.497,45.066,0,0.032,45.166,302555,1.79,37.882,3.427,1.708,0,-,0,58171,-0.514,7.283,7813,0.978,1.909,0.32,5605,0.702,-0.555,-0.467,NL,1
2020Sep,284921,35.674,32257,4.039,45756,5.729,362146,0,256,362935,1.529,45.343,0,0.032,45.442,300353,1.807,37.607,3.427,1.735,0,-,0,62581,-0.514,7.836,8610,1.078,1.909,0.352,17085,2.139,-0.56,-0.473,NL,1
