Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.BG.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.BG.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.BG.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,
,"Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with short-term residual maturity (up to 1 year), Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with residual maturity over 5 years, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year or no stated maturity), Interest rate, All currencies, 12-period moving average","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average",
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),
Period\Unit:,[Millions],,[Millions],,[Millions],,[Millions],[Millions],[Millions],[Millions],,,,,,[Millions],,,,,[Millions],,,[Millions],,,[Millions],,,,[Millions],,,,COUNTRY
2021Mar,10802,17.812,1448,2.388,0,0,9404,0,0,12250,2.171,15.508,0,0,20.2,11971,2.219,19.739,2.543,1.836,24,3.402,0.04,255,-0.17,0.421,1,0.001,3.37,3.37,153,0.252,-,0.838,BG
2021Feb,11907,19.635,190,0.314,0,0,9404,0,0,12098,2.201,15.508,0,0,19.949,11971,2.219,19.74,2.543,1.836,24,3.402,0.04,102,-0.17,0.168,247,0.408,3.37,3.37,255,0.421,-,0.838,BG
2021Jan,11652,19.215,437,0.721,0,0,9549,0,0,12090,2.248,15.747,0,0,19.936,12065,2.246,19.895,4.902,1.877,24,3.396,0.04,0,-,0,0,0,5.703,5.703,0,0,-,0.922,BG
2020Dec,11652,19.215,437,0.721,0,0,9549,0,0,12090,2.239,15.747,0,0,19.936,12065,2.237,19.895,3.152,1.877,24,3.396,0.04,0,-,0,1,0.001,3.118,3.118,0,0,-,0.882,BG
2020Nov,11653,19.216,437,0.721,0,0,9549,0,0,12090,2.239,15.747,0,0,19.937,12066,2.237,19.897,3.152,1.877,25,3.392,0.04,0,-,0,0,0,2.979,2.979,0,0,-,0.882,BG
2020Oct,11653,19.216,437,0.721,0,0,9549,0,0,12090,2.239,15.747,0,0,19.937,12066,2.237,19.897,3.152,1.877,25,3.392,0.04,0,-,0,2,0.003,2.993,2.993,0,0,-,0.882,BG
2020Sep,11680,19.261,412,0.679,0,0,9549,0,0,12092,2.239,15.747,0,0,19.94,12066,2.237,19.897,3.152,1.877,26,3.321,0.043,0,-,0,1,0.001,2.993,2.993,2500,4.123,-,0.882,BG
