Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3895
,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.MT.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.MT.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.MT.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.MT.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T
,"Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with short-term residual maturity (up to 1 year), Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with residual maturity over 5 years, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year or no stated maturity), Interest rate, All currencies, 12-period moving average","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Millions],,[Millions],,[Millions],,[Millions],[Millions],[Millions],[Millions],,,,,,[Millions],,,,,[Millions],,,[Millions],,,[Millions],,,,[Millions],,,
2021Mar,5481,42.740,462,3.604,753,5.870,6696,0,0,6696,2.338,52.214,0.000,0.000,52.214,5943,2.685,46.344,5.014,2.834,0,-,0.000,753,-0.400,5.870,157,1.224,2.271,0.027,163,1.273,-0.396,-0.057
2021Feb,5481,42.739,462,3.604,747,5.823,6690,0,0,6690,2.408,52.166,0.000,0.000,52.166,5943,2.685,46.343,5.014,2.834,0,-,0.000,747,-0.380,5.823,94,0.733,3.070,0.401,430,3.351,-0.391,-0.055
2021Jan,5181,40.399,462,3.604,711,5.544,6354,0,0,6354,2.483,49.548,0.000,0.000,49.548,5643,2.797,44.003,5.014,3.018,0,-,0.000,711,-0.389,5.544,49,0.382,3.070,0.377,116,0.905,-0.387,-0.091
2020Dec,5181,40.399,462,3.604,644,5.022,6287,0,0,6287,2.494,49.025,0.000,0.000,49.025,5643,2.797,44.003,5.014,3.018,0,-,0.000,644,-0.378,5.022,211,1.641,3.070,0.382,220,1.716,-0.384,-0.088
2020Nov,5184,40.425,459,3.578,635,4.948,6277,0,0,6277,2.579,48.951,0.000,0.000,48.951,5643,2.797,44.003,5.014,3.021,0,-,0.000,635,-0.330,4.948,504,3.929,3.065,0.458,362,2.821,-0.375,-0.077
2020Oct,5108,39.834,459,3.578,687,5.353,6254,0,0,6254,2.552,48.765,0.000,0.000,48.765,5567,2.819,43.412,5.000,3.059,0,-,0.000,687,-0.343,5.353,544,4.239,3.065,0.481,447,3.484,-0.371,-0.126
2020Sep,4999,38.982,507,3.951,758,5.907,6263,0,0,6263,2.631,48.841,0.000,0.000,48.841,5458,2.875,42.561,5.000,3.153,48,-,0.373,758,-0.322,5.907,317,2.472,3.133,0.507,339,2.644,-0.364,-0.116
