Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3899
,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.SI.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.SI.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SI.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.SI.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T
,"Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with short-term residual maturity (up to 1 year), Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with residual maturity over 5 years, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year or no stated maturity), Interest rate, All currencies, 12-period moving average","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Millions],,[Millions],,[Millions],,[Millions],[Millions],[Millions],[Millions],,,,,,[Millions],,,,,[Millions],,,[Millions],,,[Millions],,,,[Millions],,,
2021Mar,32393,69.967,2968,6.410,673,1.454,34619,0,1415,36034,1.833,74.775,0.000,3.057,77.831,34563,1.920,74.654,2.698,1.323,0,-,0.000,1471,-0.204,3.177,28,0.060,4.124,2.451,206,0.446,-0.433,0.206
2021Feb,33585,72.542,1718,3.710,553,1.193,34498,0,1357,35855,1.837,74.515,0.000,2.931,77.446,34505,1.914,74.529,2.698,1.323,0,-,0.000,1351,-0.173,2.917,11,0.024,4.019,2.385,735,1.588,-0.434,0.202
2021Jan,33096,71.486,1718,3.710,318,0.686,33763,0,1368,35131,1.868,72.927,0.000,2.956,75.883,34016,1.933,73.473,3.125,1.607,0,-,0.000,1116,-0.115,2.410,1600,3.455,4.019,2.335,2701,5.833,-0.430,0.174
2020Dec,30715,66.342,3196,6.903,120,0.259,32673,0,1357,34031,2.018,70.573,0.000,2.931,73.504,33112,2.070,71.522,3.125,1.770,0,-,0.000,918,0.010,1.983,170,0.368,1.042,-0.173,0,0.000,-0.428,0.311
2020Nov,30749,66.416,3196,6.903,256,0.553,32809,0,1391,34201,2.121,70.867,0.000,3.005,73.872,33147,2.180,71.595,3.908,1.770,0,-,0.000,1054,-0.032,2.277,52,0.112,3.796,2.459,0,0.000,-0.428,0.311
2020Oct,30773,66.467,3196,6.903,284,0.614,32838,0,1415,34253,2.113,70.928,0.000,3.057,73.985,33170,2.183,71.647,3.908,1.770,0,-,0.000,1082,-0.081,2.338,294,0.635,3.796,2.256,1100,2.376,-0.428,0.311
2020Sep,30441,65.750,2729,5.894,277,0.599,32032,0,1415,33447,2.178,69.187,0.000,3.057,72.244,32343,2.244,69.860,3.903,1.830,0,-,0.000,1103,-0.040,2.383,235,0.508,3.944,2.315,322,0.695,-0.426,0.274
