Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=BASKET603668784
,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FI.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.IE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.IT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LU.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LV.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.PT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SK.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T
,"Austria, Debt securities, Euro, Non transformed data","Austria, Debt securities, Interest rate, Average, period on period","Austria, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Austria, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Austria, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Austria, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Belgium, Debt securities, Euro, Non transformed data","Belgium, Debt securities, Interest rate, Average, period on period","Belgium, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Belgium, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Belgium, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Belgium, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Bulgaria, Debt securities, Euro, Non transformed data","Bulgaria, Debt securities, Interest rate, Average, period on period","Bulgaria, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Bulgaria, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Bulgaria, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Bulgaria, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Cyprus, Debt securities, Euro, Non transformed data","Cyprus, Debt securities, Interest rate, Average, period on period","Cyprus, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Cyprus, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Cyprus, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Cyprus, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Czech Republic, Debt securities, Euro, Non transformed data","Czech Republic, Debt securities, Interest rate, Average, period on period","Czech Republic, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Czech Republic, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Czech Republic, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Czech Republic, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Germany, Debt securities, Euro, Non transformed data","Germany, Debt securities, Interest rate, Average, period on period","Germany, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Germany, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Germany, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Germany, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Denmark, Debt securities, Euro, Non transformed data","Denmark, Debt securities, Interest rate, Average, period on period","Denmark, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Denmark, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Denmark, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Denmark, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Spain, Debt securities, Euro, Non transformed data","Spain, Debt securities, Interest rate, Average, period on period","Spain, Debt securities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Spain, Debt securities, fixed rate issues, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Spain, Debt securities, floating rate issues (e.g. variable interest), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Spain, Debt securities, zero coupon bonds, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Non transformed data","Finland, Debt securities, Interest rate, Average, period on period","France, Debt securities, Interest rate, Average, period on period","Greece, Debt securities, Interest rate, Average, period on period","Ireland, Debt securities, Interest rate, Average, period on period","Italy, Debt securities, Interest rate, Average, period on period","Lithuania, Debt securities, Interest rate, Average, period on period","Luxembourg, Debt securities, Interest rate, Average, period on period","Latvia, Debt securities, Interest rate, Average, period on period","Malta, Debt securities, Interest rate, Average, period on period","Netherlands, Debt securities, Interest rate, Average, period on period","Portugal, Debt securities, Interest rate, Average, period on period","Slovenia, Debt securities, Interest rate, Average, period on period","Slovakia, Debt securities, Interest rate, Average, period on period"
Collection:,End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,[Millions],,,,,,,,,,,,,,,,,,
2021Mar,292272,1.745,77.823,69.302,1.168,7.352,478874,2.064,106.518,95.713,1.422,9.384,12250,2.171,20.200,19.739,0.040,0.421,17494,2.495,83.304,71.398,0.000,11.906,85861,1.987,40.186,37.051,0.000,3.135,1898515,0.813,56.974,48.099,3.699,5.176,99035,1.344,31.770,27.622,0.548,3.599,1214703,2.227,108.291,92.161,8.760,7.371,0.987,1.679,2.783,1.778,2.302,1.533,0.681,1.261,2.338,1.469,2.794,1.833,2.181
2021Feb,284483,1.822,75.749,69.003,1.170,5.576,471020,2.127,104.771,94.238,1.428,9.105,12098,2.201,19.949,19.740,0.040,0.168,17477,2.512,83.224,71.437,0.000,11.787,78591,2.124,36.783,36.148,0.000,0.635,1878557,0.848,56.375,47.691,3.694,4.990,105008,1.365,33.686,27.579,0.526,5.581,1201306,2.273,107.097,91.114,8.718,7.265,1.020,1.710,2.846,1.779,2.344,1.535,0.835,1.408,2.408,1.500,2.833,1.837,2.188
2021Jan,283591,1.890,75.511,67.696,1.170,6.645,464264,2.128,103.268,92.425,1.441,9.402,12090,2.248,19.936,19.895,0.040,0.000,16479,2.675,78.468,71.443,0.000,7.025,79831,2.115,37.363,36.814,0.000,0.550,1856453,0.861,55.712,46.901,3.745,5.067,104541,1.300,33.536,27.340,0.530,5.666,1148660,2.301,102.404,89.890,5.397,7.117,1.073,1.724,3.000,1.781,2.393,1.831,0.835,1.411,2.483,1.510,2.873,1.868,2.242
2020Dec,279347,1.875,74.381,67.403,1.174,5.803,458437,2.189,101.972,90.809,1.378,9.785,12090,2.239,19.936,19.895,0.040,0.000,16544,2.690,78.778,71.753,0.000,7.025,76939,2.141,36.010,35.233,0.000,0.777,1840030,0.886,55.219,46.643,3.807,4.769,105361,1.351,33.799,27.574,0.526,5.699,1143542,2.347,101.947,89.454,5.345,7.148,1.113,1.735,3.060,1.875,2.420,0.380,0.835,1.459,2.494,1.488,2.939,2.018,2.255
2020Nov,275188,1.870,73.274,67.245,1.203,4.826,457709,2.151,101.810,90.478,1.373,9.959,12090,2.239,19.937,19.897,0.040,0.000,17315,2.702,82.453,75.427,0.000,7.025,79304,2.146,37.117,35.779,0.000,1.338,1862033,0.898,55.879,46.891,3.851,5.137,107891,1.389,34.611,27.469,0.539,6.603,1146478,2.299,102.209,89.477,5.300,7.432,1.113,1.752,3.029,1.868,2.420,1.846,0.835,1.590,2.579,1.476,2.896,2.121,2.205
2020Oct,276081,1.898,73.511,67.063,1.206,5.242,454647,2.186,101.129,89.819,1.373,9.937,12090,2.239,19.937,19.897,0.040,0.000,17314,2.705,82.445,75.441,0.000,7.004,75687,2.128,35.424,34.094,0.000,1.329,1852030,0.900,55.579,46.364,3.913,5.302,107241,1.408,34.402,28.008,0.548,5.846,1144978,2.297,102.075,89.096,5.254,7.725,1.156,1.778,2.973,1.880,2.428,1.869,0.803,1.541,2.552,1.497,2.935,2.113,2.213
2020Sep,265470,1.971,70.686,66.027,1.207,3.453,452467,2.213,100.644,88.672,1.342,10.630,12092,2.239,19.940,19.897,0.043,0.000,17300,2.705,82.380,75.440,0.000,6.940,74514,2.150,34.875,33.476,0.000,1.399,1842833,0.942,55.303,46.133,4.031,5.138,95963,1.689,30.785,26.100,0.000,4.685,1158313,2.318,103.264,90.137,5.203,7.925,1.196,1.807,3.117,1.906,2.471,1.884,0.803,1.543,2.631,1.529,2.939,2.178,2.227
