LOCATION,SUBJECT,FREQUENCY,TIME,Flag Codes,GDP_MLN_USD,GDP_USD_CAP,LTINT
AUS,TOT,A,2006,NA,773925.843,37842.933976,5.587872
AUS,TOT,A,2007,NA,824690.484,39596.040082,5.994521
AUS,TOT,A,2008,NA,851983.13,40094.833205,5.817944
AUS,TOT,A,2009,NA,902680.372,41614.090724,5.039512
AUS,TOT,A,2010,NA,942676.08,42787.065957,5.366042
AUS,TOT,A,2011,NA,992327.38,44419.309749,4.879583
AUS,TOT,A,2012,NA,997527.347,43879.180355,3.379167
AUS,TOT,A,2013,NA,1104626.135,47761.21406,3.697292
AUS,TOT,A,2014,NA,1118494.158,47644.762792,3.656667
AUS,TOT,A,2015,NA,1126907.643,47317.250695,2.710833
AUS,TOT,A,2016,NA,1215297.461,50237.794429,2.336667
AUS,TOT,A,2017,NA,1251095.561,50853.615427,2.639167
AUS,TOT,A,2018,NA,1326164.114,53061.634053,2.684167
AUS,TOT,A,2019,NA,1346385.112,NA,1.493333
AUS,TOT,A,2019,E,NA,53067.877181,1.493333
AUT,TOT,A,2006,NA,310998.391,37614.942761,3.8
AUT,TOT,A,2007,NA,326699.296,39384.189618,4.2975
AUT,TOT,A,2008,NA,343812.976,41316.022642,4.358333
AUT,TOT,A,2009,NA,341644.307,40957.262321,3.936667
AUT,TOT,A,2010,NA,351610.069,42053.24337,3.225833
AUT,TOT,A,2011,NA,373031.477,44469.209642,3.319167
AUT,TOT,A,2012,NA,391635.176,46477.655075,2.3725
AUT,TOT,A,2013,NA,406370.245,47936.677963,2.01
AUT,TOT,A,2014,NA,417059.519,48813.534409,1.4875
AUT,TOT,A,2015,NA,430975.924,49942.056293,0.7463517
AUT,TOT,A,2016,NA,460282.647,52665.087457,0.3753925
AUT,TOT,A,2017,NA,476563.995,54185.337013,0.583265
AUT,TOT,A,2018,NA,504354.99,57068.534815,0.6861517
AUT,TOT,A,2019,NA,520804.077,58664.718719,0.0629325
AUT,TOT,A,2020,NA,494184.906,55407.641086,-0.2248375
BEL,TOT,A,2006,NA,371415.055,35211.893732,3.815
BEL,TOT,A,2007,NA,390457.716,36745.503067,4.328333
BEL,TOT,A,2008,NA,405729.43,37883.233422,4.4175
BEL,TOT,A,2009,NA,407862.461,37779.034875,3.901667
BEL,TOT,A,2010,NA,434412.544,39868.992658,3.4625
BEL,TOT,A,2011,NA,451932.625,40943.343479,4.233333
BEL,TOT,A,2012,NA,469720.336,42290.477674,3
BEL,TOT,A,2013,NA,487343.796,43672.712292,2.41
BEL,TOT,A,2014,NA,503619.623,44929.933328,1.713333
BEL,TOT,A,2015,NA,520877.807,46201.685891,0.84
BEL,TOT,A,2016,NA,550677.566,48599.202676,0.4758333
BEL,TOT,A,2017,NA,573712.461,50436.26033,0.7225
BEL,TOT,A,2018,NA,601841.891,52668.407357,0.795
BEL,TOT,A,2019,NA,628370.645,54693.240937,0.1933333
BEL,TOT,A,2020,P,596227.81,51688.583464,-0.1483333
CAN,TOT,A,2006,NA,1241194.165,38107.136242,4.20776
CAN,TOT,A,2007,NA,1300942.608,39555.523703,4.269767
CAN,TOT,A,2008,NA,1342396.613,40376.330167,3.605302
CAN,TOT,A,2009,NA,1307953.077,38893.727456,3.230619
CAN,TOT,A,2010,NA,1364079.668,40114.222041,3.23514
CAN,TOT,A,2011,NA,1430807.125,41666.718851,2.783036
CAN,TOT,A,2012,NA,1468094.965,42290.879082,1.87341
CAN,TOT,A,2013,NA,1554122.745,44298.514462,2.261959
CAN,TOT,A,2014,NA,1621396.709,45753.782936,2.23083
CAN,TOT,A,2015,NA,1594850.842,44670.054374,1.521695
CAN,TOT,A,2016,NA,1678093.396,46472.368771,1.251758
CAN,TOT,A,2017,NA,1765763.154,48316.716527,1.783652
CAN,TOT,A,2018,NA,1862154.108,50239.988278,2.277912
CAN,TOT,A,2019,NA,1904502.917,50660.587438,1.588883
CAN,TOT,A,2020,NA,1839649.162,48405.147781,0.7531087
CZE,TOT,A,2006,NA,244624.887,23827.147382,3.8
CZE,TOT,A,2007,NA,270349.144,26189.798385,4.3025
CZE,TOT,A,2008,NA,290503.947,27853.549898,4.633333
CZE,TOT,A,2009,NA,290152.861,27656.015128,4.8375
CZE,TOT,A,2010,NA,292270.175,27789.608377,3.884167
CZE,TOT,A,2011,NA,304400.914,28999.754757,3.7075
CZE,TOT,A,2012,NA,307490.199,29258.904853,2.781667
CZE,TOT,A,2013,NA,324029.978,30828.526409,2.111667
CZE,TOT,A,2014,NA,342099.837,32504.217576,1.575833
CZE,TOT,A,2015,NA,357503.881,33909.309243,0.575
CZE,TOT,A,2016,NA,381420.335,36101.285601,0.4275
CZE,TOT,A,2017,NA,411327.86,38842.896268,0.9808334
CZE,TOT,A,2018,NA,437252.426,41147.631528,1.981667
CZE,TOT,A,2019,NA,458949.665,43015.814745,1.548333
CZE,TOT,A,2020,NA,440098.351,41134.931169,1.128333
DNK,TOT,A,2006,NA,202725.721,37286.319861,3.812175
DNK,TOT,A,2007,NA,212771.394,38969.119721,4.286608
DNK,TOT,A,2008,NA,226767.494,41282.995471,4.281425
DNK,TOT,A,2009,NA,222918.17,40361.790678,3.586242
DNK,TOT,A,2010,NA,238749.494,43041.192361,2.926058
DNK,TOT,A,2011,NA,247352.237,44407.94207,2.72935
DNK,TOT,A,2012,NA,250524.599,44808.549212,1.403058
DNK,TOT,A,2013,NA,262368.12,46742.939663,1.745833
DNK,TOT,A,2014,NA,270330.607,47905.477079,1.326667
DNK,TOT,A,2015,NA,278748.365,49058.142344,0.6908333
DNK,TOT,A,2016,NA,297719.06,51967.020438,0.3208333
DNK,TOT,A,2017,NA,319130.165,55356.49009,0.4766667
DNK,TOT,A,2018,NA,332918.429,57459.169626,0.4558333
DNK,TOT,A,2019,NA,350812.056,60308.072261,-0.185
DNK,TOT,A,2020,NA,348880.767,59842.327077,-0.36
FIN,TOT,A,2006,NA,181207.156,34408.817577,3.7825
FIN,TOT,A,2007,NA,199873.495,37792.556693,4.293334
FIN,TOT,A,2008,NA,212980.742,40083.701943,4.29
FIN,TOT,A,2009,NA,202878.3,38000.018769,3.738333
FIN,TOT,A,2010,NA,209096.826,38985.871994,3.010833
FIN,TOT,A,2011,NA,220471.171,40916.647325,3.005833
FIN,TOT,A,2012,NA,221285.636,40872.854802,1.883333
FIN,TOT,A,2013,NA,225679.983,41492.918416,1.860833
FIN,TOT,A,2014,NA,228058.636,41749.864733,1.448333
FIN,TOT,A,2015,NA,232867.602,42490.211049,0.7233334
FIN,TOT,A,2016,NA,246928.493,44934.488245,0.365
FIN,TOT,A,2017,NA,262026.563,47570.270354,0.5466667
FIN,TOT,A,2018,NA,274425.751,49749.057567,0.6616667
FIN,TOT,A,2019,NA,284674.869,51556.59032,0.07
FIN,TOT,A,2020,NA,277873.146,50247.399815,-0.2191667
FRA,TOT,A,2006,NA,2062931.189,32431.435631,3.795742
FRA,TOT,A,2007,NA,2181667.496,34086.956799,4.3032
FRA,TOT,A,2008,NA,2259255.844,35102.870428,4.234325
FRA,TOT,A,2009,NA,2245566.431,34711.655714,3.648817
FRA,TOT,A,2010,NA,2336459.963,35939.455835,3.117017
FRA,TOT,A,2011,NA,2446474.544,37447.949543,3.321058
FRA,TOT,A,2012,NA,2474005.287,37684.198067,2.535992
FRA,TOT,A,2013,NA,2608523.504,39528.473644,2.20435
FRA,TOT,A,2014,NA,2662032.873,40144.059485,1.666442
FRA,TOT,A,2015,NA,2718495.127,40829.893311,0.8418583
FRA,TOT,A,2016,NA,2864105.631,42855.944562,0.4678833
FRA,TOT,A,2017,NA,2983010.673,44480.722199,0.8098583
FRA,TOT,A,2018,P,3124870.045,46456.107107,0.7841083
FRA,TOT,A,2019,P,3320559.672,49225.564402,0.1302
FRA,TOT,A,2020,P,3077474.669,45494.488417,-0.1452667
DEU,TOT,A,2006,NA,2810242.832,34620.413592,3.764125
DEU,TOT,A,2007,NA,2981616.28,36813.713454,4.217113
DEU,TOT,A,2008,NA,3103958.247,38432.448211,3.984804
DEU,TOT,A,2009,NA,3017520.905,37492.649447,3.222218
DEU,TOT,A,2010,NA,3187863.278,39707.329953,2.744305
DEU,TOT,A,2011,NA,3415019.966,42541.513126,2.609223
DEU,TOT,A,2012,NA,3487234.448,43359.541048,1.49513
DEU,TOT,A,2013,NA,3628559.337,44993.667838,1.571408
DEU,TOT,A,2014,NA,3807114.521,47011.280402,1.163512
DEU,TOT,A,2015,NA,3889081.896,47609.557159,0.4953091
DEU,TOT,A,2016,NA,4165169.905,50579.483717,0.09157856
DEU,TOT,A,2017,NA,4376927.671,52952.897774,0.31638
DEU,TOT,A,2018,NA,4556073.246,54954.68658,0.3964832
