LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes
AUS,GGNLEND,TOT,PC_GDP,A,1970,-1.530485687,
AUS,GGNLEND,TOT,PC_GDP,A,1971,-1.497167521,
AUS,GGNLEND,TOT,PC_GDP,A,1972,-1.963937524,
AUS,GGNLEND,TOT,PC_GDP,A,1973,-0.827913459,
AUS,GGNLEND,TOT,PC_GDP,A,1974,-3.450020377,
AUS,GGNLEND,TOT,PC_GDP,A,1975,-4.301126943,
AUS,GGNLEND,TOT,PC_GDP,A,1976,-4.176988571,
AUS,GGNLEND,TOT,PC_GDP,A,1977,-5.076296953,
AUS,GGNLEND,TOT,PC_GDP,A,1978,-4.766121076,
AUS,GGNLEND,TOT,PC_GDP,A,1979,-3.155686485,
AUS,GGNLEND,TOT,PC_GDP,A,1980,-3.330441298,
AUS,GGNLEND,TOT,PC_GDP,A,1981,-3.729201544,
AUS,GGNLEND,TOT,PC_GDP,A,1982,-5.697912316,
AUS,GGNLEND,TOT,PC_GDP,A,1983,-6.084507306,
AUS,GGNLEND,TOT,PC_GDP,A,1984,-5.792154843,
AUS,GGNLEND,TOT,PC_GDP,A,1985,-5.20250538,
AUS,GGNLEND,TOT,PC_GDP,A,1986,-3.525602884,
AUS,GGNLEND,TOT,PC_GDP,A,1987,-1.787031977,
AUS,GGNLEND,TOT,PC_GDP,A,1988,-1.036361064,
AUS,GGNLEND,TOT,PC_GDP,A,1989,,
AUS,GGNLEND,TOT,PC_GDP,A,1990,-3.316645958,
AUS,GGNLEND,TOT,PC_GDP,A,1991,-5.801437814,
AUS,GGNLEND,TOT,PC_GDP,A,1992,-6.180691344,
AUS,GGNLEND,TOT,PC_GDP,A,1993,-4.421805222,
AUS,GGNLEND,TOT,PC_GDP,A,1994,-4.152521296,
AUS,GGNLEND,TOT,PC_GDP,A,1995,-2.905047204,
AUS,GGNLEND,TOT,PC_GDP,A,1996,-1.128777524,
AUS,GGNLEND,TOT,PC_GDP,A,1997,0.173440776,
AUS,GGNLEND,TOT,PC_GDP,A,1998,0.724351398,
