LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,def_03ya,def_05ya,min_05y_all,min_03y_all
AUS,GGNLEND,TOT,PC_GDP,A,1996,1.128777524,NA,FALSE,-1.128777524,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1997,-0.173440776,NA,FALSE,0.173440776,0.07699511666666665,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1998,-0.724351398,NA,FALSE,0.724351398,-0.966425815,-0.1072862108,NA,-0.724351398
AUS,GGNLEND,TOT,PC_GDP,A,1999,-2.001485271,NA,FALSE,2.001485271,-0.49725593400000007,-0.1814480196,NA,-2.001485271
AUS,GGNLEND,TOT,PC_GDP,A,2000,1.234068867,NA,FALSE,-1.234068867,-0.0031493080000000637,-0.28931379960000003,-2.001485271,-2.001485271
AUS,GGNLEND,TOT,PC_GDP,A,2001,0.75796847999999994,NA,FALSE,-0.75796847999999994,0.4264225569999999,-0.3065499984,-2.001485271,-2.001485271
AUS,GGNLEND,TOT,PC_GDP,A,2002,-0.712769676,NA,FALSE,0.712769676,-0.25511119600000015,-0.09472374400000003,-2.001485271,-0.712769676
AUS,GGNLEND,TOT,PC_GDP,A,2003,-0.810532392,NA,FALSE,0.810532392,-0.8218853556666668,-0.6742854274000001,-2.001485271,-0.810532392
AUS,GGNLEND,TOT,PC_GDP,A,2004,-0.942353999,NA,FALSE,0.942353999,-1.1388753136666667,-1.1569322408000002,-0.942353999,-0.942353999
AUS,GGNLEND,TOT,PC_GDP,A,2005,-1.66373955,NA,FALSE,1.66373955,-1.4204530453333335,-1.1584181658000001,-1.66373955,-1.66373955
AUS,GGNLEND,TOT,PC_GDP,A,2006,-1.655265587,NA,FALSE,1.655265587,-1.3464014793333334,-0.24723915999999999,-1.66373955,-1.66373955
AUS,GGNLEND,TOT,PC_GDP,A,2007,-0.720199301,NA,FALSE,0.720199301,0.456632583,1.0531189509999999,-1.66373955,-1.66373955
AUS,GGNLEND,TOT,PC_GDP,A,2008,3.745362637,NA,FALSE,-3.745362637,2.861533297333333,2.278172642,-1.66373955,-1.655265587
AUS,GGNLEND,TOT,PC_GDP,A,2009,5.559436556,NA,FALSE,-5.559436556,4.588776032666666,3.5322792893999995,-1.66373955,-0.720199301
AUS,GGNLEND,TOT,PC_GDP,A,2010,4.461528905,NA,FALSE,-4.461528905,4.878744370333333,4.2535865838,-1.655265587,3.745362637
AUS,GGNLEND,TOT,PC_GDP,A,2011,4.61526765,NA,FALSE,-4.61526765,3.9877112419999996,4.0734492656,-0.720199301,4.461528905
AUS,GGNLEND,TOT,PC_GDP,A,2012,2.886337171,NA,FALSE,-2.886337171,3.4487602889999995,3.4249988228,2.886337171,2.886337171
AUS,GGNLEND,TOT,PC_GDP,A,2013,2.844676046,NA,FALSE,-2.844676046,2.6827325196666667,2.996794627,2.844676046,2.844676046
AUS,GGNLEND,TOT,PC_GDP,A,2014,2.317184342,NA,FALSE,-2.317184342,2.494122771333333,2.4043411806,2.317184342,2.317184342
AUS,GGNLEND,TOT,PC_GDP,A,2015,2.320507926,NA,FALSE,-2.320507926,2.096897562,2.0746502384,2.317184342,2.317184342
AUS,GGNLEND,TOT,PC_GDP,A,2016,1.653000418,NA,FALSE,-1.653000418,1.7371302679999998,1.6161478702,1.653000418,1.653000418
AUS,GGNLEND,TOT,PC_GDP,A,2017,1.23788246,NA,FALSE,-1.23788246,1.147682361,2.4691056714,1.23788246,1.23788246
AUS,GGNLEND,TOT,PC_GDP,A,2018,0.552164205,NA,FALSE,-0.552164205,2.7906733376666666,NA,0.552164205,0.552164205
AUS,GGNLEND,TOT,PC_GDP,A,2019,6.581973348,NA,FALSE,-6.581973348,NA,NA,0.552164205,0.552164205
AUT,GGNLEND,TOT,PC_GDP,A,1996,4.503615848,NA,FALSE,-4.503615848,NA,NA,NA,NA
AUT,GGNLEND,TOT,PC_GDP,A,1997,2.575791199,NA,FALSE,-2.575791199,3.258544629333333,NA,NA,NA
AUT,GGNLEND,TOT,PC_GDP,A,1998,2.696226841,NA,FALSE,-2.696226841,2.622634898,2.9552445742,NA,2.575791199
AUT,GGNLEND,TOT,PC_GDP,A,1999,2.595886654,NA,FALSE,-2.595886654,2.5656052746666664,2.1868365136000003,NA,2.575791199
AUT,GGNLEND,TOT,PC_GDP,A,2000,2.404702329,NA,FALSE,-2.404702329,1.887388176,1.9479132583999998,2.404702329,2.404702329
AUT,GGNLEND,TOT,PC_GDP,A,2001,0.661575545,NA,FALSE,-0.661575545,1.4824842656666668,1.7659529805999998,0.661575545,0.661575545
