LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,def_03ya,def_05ya,min_05y_all,min_03y_all,min_05y_no_GFC,min_03y_no_GFC,def_03ya_no_GFC,def_05ya_no_GFC
AUS,GGNLEND,TOT,PC_GDP,A,1996,1.128777524,NA,FALSE,-1.128777524,NA,NA,NA,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1997,-0.173440776,NA,FALSE,0.173440776,0.07699511666666665,NA,NA,NA,NA,NA,0.07699511666666665,NA
AUS,GGNLEND,TOT,PC_GDP,A,1998,-0.724351398,NA,FALSE,0.724351398,-0.966425815,-0.1072862108,NA,-0.724351398,NA,-0.724351398,-0.966425815,-0.1072862108
AUS,GGNLEND,TOT,PC_GDP,A,1999,-2.001485271,NA,FALSE,2.001485271,-0.49725593400000007,-0.1814480196,NA,-2.001485271,NA,-2.001485271,-0.49725593400000007,-0.1814480196
AUS,GGNLEND,TOT,PC_GDP,A,2000,1.234068867,NA,FALSE,-1.234068867,-0.0031493080000000637,-0.28931379960000003,-2.001485271,-2.001485271,-2.001485271,-2.001485271,-0.0031493080000000637,-0.28931379960000003
AUS,GGNLEND,TOT,PC_GDP,A,2001,0.75796847999999994,NA,FALSE,-0.75796847999999994,0.4264225569999999,-0.3065499984,-2.001485271,-2.001485271,-2.001485271,-2.001485271,0.4264225569999999,-0.3065499984
AUS,GGNLEND,TOT,PC_GDP,A,2002,-0.712769676,NA,FALSE,0.712769676,-0.25511119600000015,-0.09472374400000003,-2.001485271,-0.712769676,-2.001485271,-0.712769676,-0.25511119600000015,-0.09472374400000003
AUS,GGNLEND,TOT,PC_GDP,A,2003,-0.810532392,NA,FALSE,0.810532392,-0.8218853556666668,-0.6742854274000001,-2.001485271,-0.810532392,-2.001485271,-0.810532392,-0.8218853556666668,-0.6742854274000001
AUS,GGNLEND,TOT,PC_GDP,A,2004,-0.942353999,NA,FALSE,0.942353999,-1.1388753136666667,-1.1569322408000002,-0.942353999,-0.942353999,-0.942353999,-0.942353999,-1.1388753136666667,-1.1569322408000002
AUS,GGNLEND,TOT,PC_GDP,A,2005,-1.66373955,NA,FALSE,1.66373955,-1.4204530453333335,-1.1584181658000001,-1.66373955,-1.66373955,-1.66373955,-1.66373955,-1.4204530453333335,-1.1584181658000001
AUS,GGNLEND,TOT,PC_GDP,A,2006,-1.655265587,NA,FALSE,1.655265587,-1.3464014793333334,-0.24723915999999999,-1.66373955,-1.66373955,-1.66373955,-1.66373955,-1.3464014793333334,-0.24723915999999999
AUS,GGNLEND,TOT,PC_GDP,A,2007,-0.720199301,NA,FALSE,0.720199301,0.456632583,1.0531189509999999,-1.66373955,-1.66373955,-1.66373955,-1.66373955,0.456632583,0.4046685082
AUS,GGNLEND,TOT,PC_GDP,A,2008,3.745362637,NA,FALSE,-3.745362637,2.861533297333333,2.278172642,-1.66373955,-1.655265587,-1.66373955,-1.655265587,1.780782559333333,1.2015180034
AUS,GGNLEND,TOT,PC_GDP,A,2014,2.317184342,NA,FALSE,-2.317184342,2.494122771333333,2.4043411806,2.317184342,2.317184342,-1.66373955,-0.720199301,2.794351635,1.8631712044
AUS,GGNLEND,TOT,PC_GDP,A,2015,2.320507926,NA,FALSE,-2.320507926,2.096897562,2.0746502384,2.317184342,2.317184342,-1.655265587,2.317184342,2.096897562,2.2547875565999997
AUS,GGNLEND,TOT,PC_GDP,A,2016,1.653000418,NA,FALSE,-1.653000418,1.7371302679999998,1.6161478702,1.653000418,1.653000418,-0.720199301,1.653000418,1.7371302679999998,1.6161478702
AUS,GGNLEND,TOT,PC_GDP,A,2017,1.23788246,NA,FALSE,-1.23788246,1.147682361,2.4691056714,1.23788246,1.23788246,1.23788246,1.23788246,1.147682361,2.4691056714
AUS,GGNLEND,TOT,PC_GDP,A,2018,0.552164205,NA,FALSE,-0.552164205,2.7906733376666666,NA,0.552164205,0.552164205,0.552164205,0.552164205,2.7906733376666666,NA
AUS,GGNLEND,TOT,PC_GDP,A,2019,6.581973348,NA,FALSE,-6.581973348,NA,NA,0.552164205,0.552164205,0.552164205,0.552164205,NA,NA
AUT,GGNLEND,TOT,PC_GDP,A,1996,4.503615848,NA,FALSE,-4.503615848,NA,NA,NA,NA,NA,NA,NA,NA
AUT,GGNLEND,TOT,PC_GDP,A,1997,2.575791199,NA,FALSE,-2.575791199,3.258544629333333,NA,NA,NA,NA,NA,3.258544629333333,NA
AUT,GGNLEND,TOT,PC_GDP,A,1998,2.696226841,NA,FALSE,-2.696226841,2.622634898,2.9552445742,NA,2.575791199,NA,2.575791199,2.622634898,2.9552445742
AUT,GGNLEND,TOT,PC_GDP,A,1999,2.595886654,NA,FALSE,-2.595886654,2.5656052746666664,2.1868365136000003,NA,2.575791199,NA,2.575791199,2.5656052746666664,2.1868365136000003
AUT,GGNLEND,TOT,PC_GDP,A,2000,2.404702329,NA,FALSE,-2.404702329,1.887388176,1.9479132583999998,2.404702329,2.404702329,2.404702329,2.404702329,1.887388176,1.9479132583999998
AUT,GGNLEND,TOT,PC_GDP,A,2001,0.661575545,NA,FALSE,-0.661575545,1.4824842656666668,1.7659529805999998,0.661575545,0.661575545,0.661575545,0.661575545,1.4824842656666668,1.7659529805999998
AUT,GGNLEND,TOT,PC_GDP,A,2002,1.381174923,NA,FALSE,-1.381174923,1.2763919733333333,2.2077728528,0.661575545,0.661575545,0.661575545,0.661575545,1.2763919733333333,2.2077728528
AUT,GGNLEND,TOT,PC_GDP,A,2003,1.786425452,NA,FALSE,-1.786425452,2.6575287966666665,2.2285023072,0.661575545,0.661575545,0.661575545,0.661575545,2.6575287966666665,2.2285023072
AUT,GGNLEND,TOT,PC_GDP,A,2004,4.804986015,NA,FALSE,-4.804986015,3.0332536893333333,2.6032768236,0.661575545,1.381174923,0.661575545,1.381174923,3.0332536893333333,2.6032768236
AUT,GGNLEND,TOT,PC_GDP,A,2005,2.508349601,NA,FALSE,-2.508349601,3.2829279143333334,2.5979663757999996,0.661575545,1.786425452,0.661575545,1.786425452,3.2829279143333334,2.5979663757999996
AUT,GGNLEND,TOT,PC_GDP,A,2006,2.535448127,NA,FALSE,-2.535448127,2.132806804,2.5397343518,1.381174923,2.508349601,1.381174923,2.508349601,2.132806804,2.5397343518
AUT,GGNLEND,TOT,PC_GDP,A,2007,1.354622684,NA,FALSE,-1.354622684,1.7951120476666667,2.6446783894,1.354622684,1.354622684,1.354622684,1.354622684,1.7951120476666667,2.1245667904
AUT,GGNLEND,TOT,PC_GDP,A,2008,1.495265332,NA,FALSE,-1.495265332,2.7265314063333332,3.031261881,1.354622684,1.354622684,1.354622684,1.354622684,1.859678741333333,1.8248945915999997
AUT,GGNLEND,TOT,PC_GDP,A,2014,2.729148208,NA,FALSE,-2.729148208,1.8964047786666665,1.8825752188,1.950077521,1.950077521,1.354622684,1.354622684,1.7448007156666663,1.6247231988
AUT,GGNLEND,TOT,PC_GDP,A,2015,1.009988607,NA,FALSE,-1.009988607,1.7579093259999998,1.6079938779999998,1.009988607,1.009988607,1.009988607,1.009988607,1.7579093259999998,1.5170314401999998
AUT,GGNLEND,TOT,PC_GDP,A,2016,1.534591163,NA,FALSE,-1.534591163,1.1202478869999999,1.1829001775999999,1.009988607,1.009988607,1.009988607,1.009988607,1.1202478869999999,1.1829001775999999
AUT,GGNLEND,TOT,PC_GDP,A,2017,0.816163891,NA,FALSE,-0.816163891,0.7251213576666666,0.5025083469999998,0.816163891,0.816163891,0.816163891,0.816163891,0.7251213576666666,0.5025083469999998
AUT,GGNLEND,TOT,PC_GDP,A,2018,-0.175390981,NA,FALSE,0.175390981,-0.010679345000000154,NA,-0.175390981,-0.175390981,-0.175390981,-0.175390981,-0.010679345000000154,NA
AUT,GGNLEND,TOT,PC_GDP,A,2019,-0.672810945,NA,FALSE,0.672810945,NA,NA,-0.672810945,-0.672810945,-0.672810945,-0.672810945,NA,NA
BEL,GGNLEND,TOT,PC_GDP,A,1996,4.00252745,NA,FALSE,-4.00252745,NA,NA,NA,NA,NA,NA,NA,NA
BEL,GGNLEND,TOT,PC_GDP,A,1997,2.151257354,NA,FALSE,-2.151257354,2.392886147,NA,NA,NA,NA,NA,2.392886147,NA
BEL,GGNLEND,TOT,PC_GDP,A,1998,1.024873637,NA,FALSE,-1.024873637,1.2748268146666666,1.5812610727999998,NA,1.024873637,NA,1.024873637,1.2748268146666666,1.5812610727999998
BEL,GGNLEND,TOT,PC_GDP,A,1999,0.648349453,NA,FALSE,-0.648349453,0.5841735199999999,0.7341858714,NA,0.648349453,NA,0.648349453,0.5841735199999999,0.7341858714
BEL,GGNLEND,TOT,PC_GDP,A,2000,0.07929747,NA,FALSE,-0.07929747,0.16493278866666658,0.31267346160000004,0.07929747,0.07929747,0.07929747,0.07929747,0.16493278866666658,0.31267346160000004
BEL,GGNLEND,TOT,PC_GDP,A,2001,-0.232848557,NA,FALSE,0.232848557,-0.036618594000000115,0.4805291944,-0.232848557,-0.232848557,-0.232848557,-0.232848557,-0.036618594000000115,0.4805291944
BEL,GGNLEND,TOT,PC_GDP,A,2002,0.043695305,NA,FALSE,-0.043695305,0.5583330163333332,0.3985987228,-0.232848557,-0.232848557,-0.232848557,-0.232848557,0.5583330163333332,0.3985987228
BEL,GGNLEND,TOT,PC_GDP,A,2003,1.864152301,NA,FALSE,-1.864152301,0.7155149003333333,0.9257378843999999,-0.232848557,-0.232848557,-0.232848557,-0.232848557,0.7155149003333333,0.9257378843999999
