LOCATION,SUBJECT,FREQUENCY,TIME,GDP_MLN_USD,GDP_USD_CAP,LTINT,debt_gdp,ln_gdp,LTINT_DEU,DEU_spread
AUS,TOT,A,2006,773925.843,37842.933976,5.587872,29.57842,13.559231337904267,3.764125,1.823747
AUS,TOT,A,2007,824690.484,39596.040082,5.994521,28.28024,13.622763424013515,4.217113,1.7774079999999994
AUS,TOT,A,2008,851983.13,40094.833205,5.817944,30.59481,13.655322005145937,3.984804,1.8331399999999998
AUS,TOT,A,2009,902680.372,41614.090724,5.039512,39.16329,13.713123807391934,3.222218,1.8172940000000004
AUS,TOT,A,2010,942676.08,42787.065957,5.366042,41.98516,13.75647800313636,2.744305,2.621737
AUS,TOT,A,2011,992327.38,44419.309749,4.879583,46.29339,13.807808351983624,2.609223,2.27036
AUS,TOT,A,2012,997527.347,43879.180355,3.379167,59.23946,13.813034842909204,1.49513,1.8840369999999997
AUS,TOT,A,2013,1104626.135,47761.21406,3.697292,55.70968,13.915017496317798,1.571408,2.125884
AUS,TOT,A,2014,1118494.158,47644.762792,3.656667,61.36842,13.927493836832074,1.163512,2.493155
AUS,TOT,A,2015,1126907.643,47317.250695,2.710833,64.18005,13.934987840240629,0.4953091,2.2155239
AUS,TOT,A,2016,1215297.461,50237.794429,2.336667,68.39156,14.010499428660626,0.09157856,2.24508844
AUS,TOT,A,2017,1251095.561,50853.615427,2.639167,65.60463,14.039530174221506,0.31638,2.322787
AUS,TOT,A,2018,1326164.114,53061.634053,2.684167,65.89544,14.097801208283716,0.3964832,2.2876838
AUS,TOT,A,2019,1346385.112,53067.877181,1.493333,75.67439,14.112933864162422,-0.2536345,1.7469675
AUT,TOT,A,2006,310998.391,37614.942761,3.8,72.68636,12.647543017514547,3.764125,0.03587499999999988
AUT,TOT,A,2007,326699.296,39384.189618,4.2975,68.96463,12.696795442704685,4.217113,0.08038699999999999
AUT,TOT,A,2008,343812.976,41316.022642,4.358333,74.19278,12.747853114092406,3.984804,0.373529
AUT,TOT,A,2009,341644.307,40957.262321,3.936667,86.33044,12.741525436818225,3.222218,0.7144490000000001
AUT,TOT,A,2010,351610.069,42053.24337,3.225833,90.54397,12.770278082039537,2.744305,0.48152799999999996
AUT,TOT,A,2011,373031.477,44469.209642,3.319167,91.4737,12.82941808380537,2.609223,0.7099440000000001
AUT,TOT,A,2012,391635.176,46477.655075,2.3725,97.33756,12.87808601195777,1.49513,0.87737
AUT,TOT,A,2013,406370.245,47936.677963,2.01,94.3597,12.915019956522677,1.571408,0.43859199999999987
AUT,TOT,A,2014,417059.519,48813.534409,1.4875,101.8692,12.940984222010647,1.163512,0.32398799999999994
AUT,TOT,A,2015,430975.924,49942.056293,0.7463517,101.2852,12.97380750673675,0.4953091,0.25104259999999995
AUT,TOT,A,2016,460282.647,52665.087457,0.3753925,102.5335,13.03959602976817,0.09157856,0.28381394000000004
AUT,TOT,A,2017,476563.995,54185.337013,0.583265,96.54689,13.074357295262228,0.31638,0.26688500000000004
AUT,TOT,A,2018,504354.99,57068.534815,0.6861517,90.95426,13.131035644356908,0.3964832,0.28966850000000005
AUT,TOT,A,2019,520804.077,58664.718719,0.0629325,88.89411,13.16312919818687,-0.2536345,0.316567
AUT,TOT,A,2020,494184.906,55407.641086,-0.2248375,NA,13.110665029779652,-0.5111811,0.28634360000000003
BEL,TOT,A,2006,371415.055,35211.893732,3.815,101.0699,12.825075462889636,3.764125,0.050875000000000004
BEL,TOT,A,2007,390457.716,36745.503067,4.328333,94.63382,12.87507496070885,4.217113,0.11121999999999943
BEL,TOT,A,2008,405729.43,37883.233422,4.4175,102.3672,12.913441787850212,3.984804,0.4326960000000004
BEL,TOT,A,2009,407862.461,37779.034875,3.901667,110.7298,12.918685291161346,3.222218,0.6794490000000004
BEL,TOT,A,2010,434412.544,39868.992658,3.4625,108.6802,12.98174992379636,2.744305,0.7181949999999997
BEL,TOT,A,2011,451932.625,40943.343479,4.233333,111.6199,13.02128838796935,2.609223,1.62411
BEL,TOT,A,2012,469720.336,42290.477674,3,120.9875,13.059892766798527,1.49513,1.50487
BEL,TOT,A,2013,487343.796,43672.712292,2.41,118.6558,13.096725099613536,1.571408,0.8385920000000002
BEL,TOT,A,2014,503619.623,44929.933328,1.713333,130.6104,13.129576545841966,1.163512,0.5498209999999999
BEL,TOT,A,2015,520877.807,46201.685891,0.84,126.2432,13.163270757719113,0.4953091,0.34469089999999997
BEL,TOT,A,2016,550677.566,48599.202676,0.4758333,127.6711,13.218904737177281,0.09157856,0.38425474000000004
BEL,TOT,A,2017,573712.461,50436.26033,0.7225,120.8667,13.259883610765442,0.31638,0.40612000000000004
BEL,TOT,A,2018,601841.891,52668.407357,0.795,117.6529,13.307750050260271,0.3964832,0.39851680000000006
BEL,TOT,A,2019,628370.645,54693.240937,0.1933333,120.2191,13.350885470395964,-0.2536345,0.4469678
BEL,TOT,A,2020,596227.81,51688.583464,-0.1483333,NA,13.298378104559244,-0.5111811,0.36284780000000005
CAN,TOT,A,2006,1241194.165,38107.136242,4.20776,91.14863,14.031584510449598,3.764125,0.44363500000000045
CAN,TOT,A,2007,1300942.608,39555.523703,4.269767,86.95385,14.078599642762955,4.217113,0.052653999999999535
CAN,TOT,A,2008,1342396.613,40376.330167,3.605302,89.72458,14.109967091598929,3.984804,-0.379502
CAN,TOT,A,2009,1307953.077,38893.727456,3.230619,102.7107,14.083973936502588,3.222218,0.008401000000000103
CAN,TOT,A,2010,1364079.668,40114.222041,3.23514,105.0162,14.12599052330452,2.744305,0.4908349999999997
CAN,TOT,A,2011,1430807.125,41666.718851,2.783036,107.6597,14.173749266086219,2.609223,0.173813
CAN,TOT,A,2012,1468094.965,42290.879082,1.87341,111.3064,14.199476176118782,1.49513,0.37827999999999995
CAN,TOT,A,2013,1554122.745,44298.514462,2.261959,107.3234,14.256421793276948,1.571408,0.6905510000000001
CAN,TOT,A,2014,1621396.709,45753.782936,2.23083,108.3513,14.298798501806289,1.163512,1.067318
CAN,TOT,A,2015,1594850.842,44670.054374,1.521695,114.6343,14.282290773840728,0.4953091,1.0263859
CAN,TOT,A,2016,1678093.396,46472.368771,1.251758,114.1487,14.333168823578374,0.09157856,1.1601794399999998
CAN,TOT,A,2017,1765763.154,48316.716527,1.783652,108.5559,14.384093536769118,0.31638,1.467272
CAN,TOT,A,2018,1862154.108,50239.988278,2.277912,107.3827,14.4372444981634,0.3964832,1.8814288000000001
CAN,TOT,A,2019,1904502.917,50660.587438,1.588883,106.6808,14.459731596535223,-0.2536345,1.8425175
CAN,TOT,A,2020,1839649.162,48405.147781,0.7531087,NA,14.425085438578707,-0.5111811,1.2642898
CZE,TOT,A,2006,244624.887,23827.147382,3.8,31.97211,12.407481242766742,3.764125,0.03587499999999988
CZE,TOT,A,2007,270349.144,26189.798385,4.3025,30.56147,12.507469528539186,4.217113,0.08538699999999988
CZE,TOT,A,2008,290503.947,27853.549898,4.633333,32.96545,12.579372442100906,3.984804,0.6485290000000004
CZE,TOT,A,2009,290152.861,27656.015128,4.8375,39.66047,12.578163169987166,3.222218,1.6152820000000006
CZE,TOT,A,2010,292270.175,27789.608377,3.884167,44.05919,12.58543391031347,2.744305,1.139862
CZE,TOT,A,2011,304400.914,28999.754757,3.7075,46.98329,12.626100907593282,2.609223,1.098277
CZE,TOT,A,2012,307490.199,29258.904853,2.781667,56.23002,12.636198492550017,1.49513,1.286537
CZE,TOT,A,2013,324029.978,30828.526409,2.111667,55.96956,12.688591315185679,1.571408,0.5402590000000003
CZE,TOT,A,2014,342099.837,32504.217576,1.575833,54.84251,12.742857894496714,1.163512,0.41232099999999994
CZE,TOT,A,2015,357503.881,33909.309243,0.575,51.70708,12.78690149700133,0.4953091,0.07969089999999995
CZE,TOT,A,2016,381420.335,36101.285601,0.4275,47.43294,12.851657287455014,0.09157856,0.33592144
CZE,TOT,A,2017,411327.86,38842.896268,0.9808334,43.32781,12.927145888369923,0.31638,0.6644534
CZE,TOT,A,2018,437252.426,41147.631528,1.981667,39.73836,12.988265941178778,0.3964832,1.5851838
CZE,TOT,A,2019,458949.665,43015.814745,1.548333,37.73466,13.036695820719963,-0.2536345,1.8019675
CZE,TOT,A,2020,440098.351,41134.931169,1.128333,NA,12.994753505916453,-0.5111811,1.6395141
