LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,def_03ya,def_05ya,min_05y_all,min_03y_all
AUS,GGNLEND,TOT,PC_GDP,A,2010,4.461528905,NA,FALSE,-4.461528905,4.878744370333333,4.2535865838,-1.655265587,3.745362637
AUT,GGNLEND,TOT,PC_GDP,A,2011,2.553565994,NA,FALSE,-2.553565994,3.0613012160000004,3.2927374744,1.354622684,2.553565994
BEL,GGNLEND,TOT,PC_GDP,A,2011,4.330078267,NA,FALSE,-4.330078267,4.245388896666667,4.2593067432,-0.066439884,4.087706095
BRA,GGNLEND,TOT,PC_GDP,A,2016,7.152042452,NA,FALSE,-7.152042452,7.322185876333333,6.794419614400001,2.317914081,5.87713726
CAN,GGNLEND,TOT,PC_GDP,A,2011,3.308732553,NA,FALSE,-3.308732553,3.5236027140000004,3.1893836956,-1.819655807,3.308732553
CHE,GGNLEND,TOT,PC_GDP,A,1998,1.303451839,NA,FALSE,-1.303451839,1.7337743863333335,1.3865136346,NA,1.303451839
CHL,GGNLEND,TOT,PC_GDP,A,2016,2.636673892,NA,FALSE,-2.636673892,2.4912196976666667,2.1215101562000003,-0.542586918,1.512796273
CHN,GGNLEND,TOT,PC_GDP,A,2000,7.80029974,NA,FALSE,-7.80029974,6.932867739,6.0756556033999995,2.479547119,4.869275079
COL,GGNLEND,TOT,PC_GDP,A,2017,4.84143444,NA,FALSE,-4.84143444,4.806026255666667,4.3115952722,1.527112015,3.147166866
CRI,GGNLEND,TOT,PC_GDP,A,2011,4.639993297,NA,FALSE,-4.639993297,4.1030083516666664,3.5404546968,-1.224664209,2.778997414
CZE,GGNLEND,TOT,PC_GDP,A,2001,5.759548002,NA,FALSE,-5.759548002,5.2288484466666665,5.1345465284,3.128163861,3.128163861
DEU,GGNLEND,TOT,PC_GDP,A,2003,3.704201088,NA,FALSE,-3.704201088,3.6377842119999997,3.4516468243999996,1.584664476,3.025444871
DNK,GGNLEND,TOT,PC_GDP,A,2011,2.055766615,NA,TRUE,-2.055766615,2.7521608289999997,2.4580544194000002,-5.020458128,2.055766615
EA,GGNLEND,TOT,PC_GDP,A,2011,4.230019732,NA,FALSE,-4.230019732,4.736790708,4.6911940464,0.637291771,4.230019732
ESP,GGNLEND,TOT,PC_GDP,A,2011,9.739575451,NA,FALSE,-9.739575451,10.000644459333333,9.662757131400001,-1.88621705,9.526628377
EST,GGNLEND,TOT,PC_GDP,A,2010,-0.188386142,NA,FALSE,0.188386142,0.3048574139999998,0.7687656482,-2.89221911,-0.188386142
FIN,GGNLEND,TOT,PC_GDP,A,2014,2.98747686,NA,FALSE,-2.98747686,2.6459525386666667,2.3583859877999998,1.019202214,2.155822063
FRA,GGNLEND,TOT,PC_GDP,A,2011,5.154760881,NA,FALSE,-5.154760881,5.674155629333334,5.6562680923999995,2.636296205,5.154760881
GBR,GGNLEND,TOT,PC_GDP,A,2011,7.477858808,NA,FALSE,-7.477858808,8.280194561333333,8.0769272868,2.643968475,7.477858808
GRC,GGNLEND,TOT,PC_GDP,A,2011,10.46686648,NA,FALSE,-10.46686648,10.252386488,11.827168950799999,6.707074634,10.46686648
HUN,GGNLEND,TOT,PC_GDP,A,2004,6.600796292,NA,FALSE,-6.600796292,7.192377869666667,7.9291406064,3.04138711,6.600796292
IDN,GGNLEND,TOT,PC_GDP,A,2015,2.692746994,NA,FALSE,-2.692746994,2.285603669,2.2091268723999997,1.035158789,1.858321632
IRL,GGNLEND,TOT,PC_GDP,A,2010,32.06462722,NA,TRUE,-32.06462722,19.57458282,14.7696541724,-2.775545892,7.017855128
ISL,GGNLEND,TOT,PC_GDP,A,2010,6.352400368,NA,FALSE,-6.352400368,6.957068507666665,7.0060537446,-6.733101813,6.352400368
ISR,GGNLEND,TOT,PC_GDP,A,1998,7.265986731,NA,FALSE,-7.265986731,6.6578334173333324,6.3034816536000005,NA,7.265986731
ITA,GGNLEND,TOT,PC_GDP,A,2011,3.593012379,NA,FALSE,-3.593012379,3.5927191250000003,3.7506912434,1.340256786,3.593012379
JPN,GGNLEND,TOT,PC_GDP,A,2011,9.088060137,NA,FALSE,-9.088060137,8.845534144333334,8.7909746964,2.756333505,9.088060137
KOR,GGNLEND,TOT,PC_GDP,A,2011,-0.983334596,NA,FALSE,0.983334596,-0.9614142506666662,-0.5782885184000002,-3.957316235,-0.983334596
LTU,GGNLEND,TOT,PC_GDP,A,2010,6.900444061,NA,FALSE,-6.900444061,8.315562233666666,6.2347211048,0.272386184,3.08645102
LUX,GGNLEND,TOT,PC_GDP,A,2011,-0.665837285,NA,FALSE,0.665837285,-0.30770743333333317,-0.3157418903999998,-4.406325848,-0.665837285
LVA,GGNLEND,TOT,PC_GDP,A,2010,8.646411475,NA,FALSE,-8.646411475,7.457963894666666,5.608216233,0.530830728,4.264286328
MEX,GGNLEND,TOT,PC_GDP,A,2013,4.546888381,NA,FALSE,-4.546888381,4.498937298666667,4.7923315574,2.971550405,4.546888381
NLD,GGNLEND,TOT,PC_GDP,A,2011,4.426939583,NA,FALSE,-4.426939583,4.530520915666667,4.3213023192,-0.201329423,4.426939583
NOR,GGNLEND,TOT,PC_GDP,A,2017,-5.002151496,NA,TRUE,5.002151496,-5.642885474,-5.8850390886,-10.66825474,-6.022368448
NZL,GGNLEND,TOT,PC_GDP,A,2011,3.947311348,NA,TRUE,-3.947311348,4.231673457666667,3.1431477599999997,-4.406727272,2.65062839
POL,GGNLEND,TOT,PC_GDP,A,2011,4.967254453,NA,FALSE,-4.967254453,5.386298127,5.527212975,1.882513634,4.967254453
PRT,GGNLEND,TOT,PC_GDP,A,2011,7.663220571,NA,FALSE,-7.663220571,8.413792813,8.0436904896,2.8992235,7.663220571
RUS,GGNLEND,TOT,PC_GDP,A,2015,1.392087567,NA,FALSE,-1.392087567,2.0310012353333335,1.4588973922000001,-2.953332429,0.567405881
SVK,GGNLEND,TOT,PC_GDP,A,1998,5.296969505,NA,FALSE,-5.296969505,6.2454017770000005,8.2365671126,NA,5.296969505
SVN,GGNLEND,TOT,PC_GDP,A,2011,6.62933839,NA,FALSE,-6.62933839,5.4079091156666665,7.3230577718,0.048998316,5.599677857
SWE,GGNLEND,TOT,PC_GDP,A,2012,1.012640372,NA,TRUE,-1.012640372,0.8816430789999998,0.8433419386000001,-1.900562473,0.045556544
TUR,GGNLEND,TOT,PC_GDP,A,2011,0.736199995,NA,FALSE,-0.736199995,1.1966966286666667,1.9026070953999998,NA,0.736199995
USA,GGNLEND,TOT,PC_GDP,A,2010,12.42701073,NA,FALSE,-12.42701073,12.183211816666665,10.6279993616,3.333656783,7.37098379
ZAF,GGNLEND,TOT,PC_GDP,A,1998,4.234840309,NA,FALSE,-4.234840309,4.443903436,4.418942841400001,NA,4.234840309
