LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,def_03ya,def_05ya,min_05y_all,min_03y_all
AUS,GGNLEND,TOT,PC_GDP,A,2012,2.886337171,NA,FALSE,-2.886337171,3.4487602889999995,3.4249988228,2.886337171,2.886337171
AUT,GGNLEND,TOT,PC_GDP,A,2000,2.404702329,NA,FALSE,-2.404702329,1.887388176,1.9479132583999998,2.404702329,2.404702329
BEL,GGNLEND,TOT,PC_GDP,A,2013,3.129377927,NA,FALSE,-3.129377927,3.5011474763333337,3.4494382984000005,3.129377927,3.129377927
BRA,GGNLEND,TOT,PC_GDP,A,2018,6.128403183,NA,FALSE,-6.128403183,NA,NA,5.87713726,6.128403183
CAN,GGNLEND,TOT,PC_GDP,A,2013,1.494758567,NA,FALSE,-1.494758567,1.2814598046666668,1.4429915116,1.494758567,1.494758567
CHE,GGNLEND,TOT,PC_GDP,A,2005,0.642358304,NA,FALSE,-0.642358304,0.3952205176666668,0.1948217865999999,-0.207109829,0.642358304
CHL,GGNLEND,TOT,PC_GDP,A,2018,1.621095415,NA,FALSE,-1.621095415,NA,NA,1.512796273,1.621095415
CHN,GGNLEND,TOT,PC_GDP,A,2002,4.710399721,NA,FALSE,-4.710399721,5.196665083,4.859672876199999,4.710399721,4.710399721
COL,GGNLEND,TOT,PC_GDP,A,2019,3.992730728,E,FALSE,-3.992730728,NA,NA,3.147166866,3.992730728
CRI,GGNLEND,TOT,PC_GDP,A,2019,3.870589629,E,FALSE,-3.870589629,NA,NA,2.302226618,2.888096088
CZE,GGNLEND,TOT,PC_GDP,A,2001,5.759548002,NA,FALSE,-5.759548002,5.2288484466666665,5.1345465284,3.128163861,3.128163861
DEU,GGNLEND,TOT,PC_GDP,A,2005,3.319436615,NA,FALSE,-3.319436615,2.7689156943333333,2.3500122421999996,3.025444871,3.319436615
