LOCATION,TIME,DEU_spread,LTINT
AUS,2007,1.7774079999999994,5.994521
AUS,2013,2.125884,3.697292
AUS,2019,1.7469675,1.493333
AUT,2007,0.08038699999999999,4.2975
AUT,2013,0.43859199999999987,2.01
AUT,2019,0.316567,0.0629325
BEL,2007,0.11121999999999943,4.328333
BEL,2013,0.8385920000000002,2.41
BEL,2019,0.4469678,0.1933333
CAN,2007,0.052653999999999535,4.269767
CAN,2013,0.6905510000000001,2.261959
CAN,2019,1.8425175,1.588883
CZE,2007,0.08538699999999988,4.3025
CZE,2013,0.5402590000000003,2.111667
CZE,2019,1.8019675,1.548333
DNK,2007,0.06949499999999986,4.286608
DNK,2013,0.17442500000000005,1.745833
DNK,2019,0.06863449999999999,-0.185
FIN,2007,0.07622099999999943,4.293334
FIN,2013,0.28942500000000004,1.860833
FIN,2019,0.3236345,0.07
FRA,2007,0.08608700000000002,4.3032
FRA,2013,0.6329419999999999,2.20435
FRA,2019,0.38383449999999997,0.1302
DEU,2007,0,4.217113
DEU,2013,0,1.571408
DEU,2019,0,-0.2536345
GRC,2007,0.28288699999999967,4.5
GRC,2013,8.482762,10.05417
GRC,2019,2.8394675,2.585833
HUN,2007,2.5270539999999997,6.744167
HUN,2013,4.3519250000000005,5.923333
HUN,2019,2.7186345,2.465
ISL,2007,5.202445999999999,9.419559
ISL,2013,4.217758,5.789166
ISL,2019,4.2278015,3.974167
IRL,2007,0.08871999999999947,4.305833
IRL,2013,2.218592,3.79
IRL,2019,0.5869678,0.3333333
ITA,2007,0.2701449999999994,4.487258
ITA,2013,2.745017,4.316425
ITA,2019,2.1668595,1.913225
JPN,2007,-2.5516130000000006,1.6655
JPN,2013,-0.8817413,0.6896667
JPN,2019,0.14321779999999998,-0.1104167
KOR,2007,1.1337199999999994,5.350833
KOR,2013,1.7066750000000002,3.278083
KOR,2019,1.9558845,1.70225
LUX,2007,NA,NA
LUX,2013,0.2782140000000002,1.849622
LUX,2019,0.13361769999999998,-0.1200168
MEX,2007,3.5762209999999994,7.793334
MEX,2013,4.106092,5.6775
MEX,2019,7.9219685,7.668334
NLD,2007,0.07105399999999928,4.288167
NLD,2013,0.3875090000000001,1.958917
NLD,2019,0.18363449999999998,-0.07
NZL,2007,2.0478869999999993,6.265
